match_id	radiant_team	dire_team	radiant_score	dire_score	radiant_win	radiant_pick	dire_pick
4185950283	Recca  Esports	BOOM  ID	6	33	False	[31,  14,  84,  67,  40]	[20,  72,  96,  92,  91]
4166590545	Team  EVOS	Execration.安博电竞	35	27	True	[85,  10,  86,  36,  23]	[53,  4,  46,  45,  88]
4185679954	paiN  Gaming	Team  Secret	13	39	False	[56,  112,  33,  17,  84]	[78,  110,  73,  86,  23]
4243380307	Vici  Gaming	Team  Aster	13	20	False	[94,  38,  86,  23,  50]	[96,  89,  35,  79,  64]
4217858133	Forward  Gaming	Evil  Geniuses	33	13	True	[96,  67,  45,  25,  27]	[74,  48,  85,  2,  63]
4258066517	Underdogs	Kaipi	56	45	False	[85,  103,  45,  23,  44]	[31,  96,  89,  101,  49]
4143110232	Team.  Spirit	Elements  Pro  Gaming	43	29	True	[90,  12,  63,  88,  22]	[110,  46,  42,  2,  119]
4287311961	Newbee.mgb	Newbee	33	20	True	[96,  8,  23,  29,  79]	[15,  11,  64,  41,  51]
4151238744	Aurora  Esports  club	CDEC  	40	36	True	[79,  63,  19,  103,  73]	[112,  13,  109,  3,  2]
4239167579	NoPangolier	Team.  Spirit	9	27	False	[121,  2,  59,  103,  109]	[50,  44,  65,  78,  23]
4136945756	The  Final  Tribe	Team  Lithium	35	12	True	[63,  45,  17,  19,  119]	[36,  113,  74,  110,  84]
4211267681	Team  Aster	Vici  Gaming	19	30	False	[2,  85,  46,  79,  48]	[6,  36,  3,  25,  27]
4240179298	Fnatic	BOOM  ID	29	9	True	[79,  46,  110,  41,  96]	[31,  15,  78,  44,  25]
4158972003	Team  Empire	Team  Seasid3	30	13	True	[19,  110,  84,  40,  46]	[85,  8,  70,  25,  7]
4182962281	Vici  Gaming	Alliance	20	10	True	[72,  26,  45,  36,  91]	[3,  17,  48,  114,  20]
4217313385	Alliance	TNC  Predator	26	41	False	[112,  9,  40,  70,  2]	[3,  110,  96,  46,  98]
4182947947	paiN  Gaming	Evil  Geniuses	22	48	False	[93,  2,  110,  59,  84]	[23,  4,  3,  9,  112]
4179781738	Elements  Pro  Gaming	Team.  Spirit	16	34	False	[5,  72,  23,  108,  91]	[3,  12,  97,  119,  22]
4146954345	Team.  Spirit	The  Final  Tribe	37	23	True	[3,  6,  63,  100,  17]	[109,  19,  49,  7,  31]
4158392437	EHOME	IamPoint  Club	38	29	True	[34,  119,  19,  3,  63]	[25,  100,  112,  36,  70]
4239399030	Team.  Spirit	Virtus.pro	24	38	False	[87,  48,  78,  110,  23]	[69,  10,  50,  16,  101]
4246102133	compLexity  Gaming	Plus  Ultra!!!	23	43	False	[104,  13,  31,  86,  44]	[67,  78,  26,  45,  3]
4156915833	EHOME	DeathBringer  Gaming	23	10	True	[10,  7,  88,  31,  114]	[39,  86,  91,  72,  45]
4260831354	Vega  Squadron	Team.  Spirit	4	22	False	[49,  50,  1,  97,  112]	[38,  20,  9,  100,  76]
4161507449	Sterling  Global  Dragons	CDEC  	23	6	True	[6,  13,  85,  63,  112]	[86,  25,  109,  75,  96]
4245485692	Alliance	OG	24	21	False	[5,  77,  11,  50,  78]	[31,  1,  51,  97,  45]
4146716797	Team  Waooo	INVICTUS  GAMING	47	34	True	[113,  78,  77,  86,  7]	[74,  3,  88,  114,  36]
4148979839	Gambit  Esports	Alliance	22	33	False	[33,  110,  19,  71,  109]	[5,  9,  74,  20,  107]
4261746820	Newbee.mgb	OG	15	33	False	[101,  41,  114,  38,  50]	[66,  23,  100,  78,  44]
4225546373	Team  Secret	Virtus.pro	36	21	True	[83,  113,  63,  96,  61]	[110,  93,  74,  19,  33]
4269734020	CDEC  	Newbee	45	13	True	[103,  23,  41,  31,  101]	[109,  13,  121,  20,  69]
4197632134	Infamous  Gaming	ROOONS	32	30	True	[110,  45,  3,  74,  10]	[5,  36,  53,  88,  67]
4173336714	Team.  Spirit	Yolo  Knight	46	22	True	[3,  6,  84,  112,  25]	[63,  46,  36,  110,  7]
4157143183	Team  Secret	Fnatic	25	37	False	[2,  9,  114,  112,  59]	[5,  74,  107,  63,  36]
4166451346	Clutch  Gamers	Team  EVOS	41	25	True	[85,  95,  9,  86,  29]	[33,  64,  27,  41,  74]
4232796307	iG.Vitality	KG.Luminous	41	15	True	[68,  52,  38,  41,  103]	[93,  77,  62,  121,  27]
4160135317	EHOME	ALPHA  Red	38	15	True	[6,  17,  91,  72,  84]	[112,  103,  56,  61,  9]
4270831766	Team  Empire  Hope	Alliance	21	36	False	[30,  100,  38,  44,  76]	[66,  59,  93,  7,  78]
4247904407	Evil  Geniuses	Forward  Gaming	13	35	False	[49,  80,  86,  28,  100]	[121,  1,  38,  36,  31]
4241580184	Thunder  Predator	paiN  Gaming	28	28	False	[31,  93,  3,  65,  97]	[112,  33,  8,  86,  69]
4146219158	INVICTUS  GAMING	KG.Luminous	33	41	False	[17,  27,  31,  19,  77]	[63,  96,  103,  52,  79]
4174993559	Forward  Gaming	compLexity  Gaming	27	14	True	[110,  114,  2,  9,  3]	[7,  19,  53,  85,  67]
4185768092	Mineski	Vici  Gaming	24	48	False	[84,  9,  91,  38,  59]	[19,  110,  97,  56,  26]
4167452833	Ninjas  in  Pyjamas	Virtus.pro	19	25	False	[75,  12,  5,  36,  9]	[50,  109,  74,  33,  7]
4243519652	ForTheDream	Vici  Gaming	28	7	True	[96,  49,  31,  44,  27]	[1,  75,  97,  15,  86]
4217983140	Forward  Gaming	Evil  Geniuses	24	37	False	[29,  10,  53,  9,  27]	[19,  113,  112,  2,  101]
4187322534	Evil  Geniuses	compLexity  Gaming	17	2	True	[23,  10,  50,  33,  2]	[110,  74,  104,  112,  67]
4192237735	Team  Secret	Vici  Gaming	31	13	True	[75,  86,  114,  95,  97]	[109,  84,  78,  19,  110]
4148295845	TNC  Predator	CDEC  	26	18	True	[23,  5,  34,  88,  113]	[100,  22,  79,  36,  63]
4258853033	Team  Secret	Natus  Vincere	31	23	True	[85,  16,  114,  12,  79]	[111,  44,  2,  101,  74]
4244887721	Team  Root	PSG.LGD	10	21	False	[16,  3,  49,  110,  10]	[44,  23,  85,  27,  63]
4198609065	Tigers	Natus  Vincere	26	12	True	[85,  25,  38,  112,  109]	[50,  6,  33,  103,  35]
4163893420	Team  Invincible	Team.  Spirit	25	56	False	[31,  36,  22,  53,  33]	[3,  63,  96,  62,  47]
4240572580	Unchained  Esports	Team  Empire	9	33	False	[44,  22,  86,  2,  50]	[78,  112,  101,  48,  100]
4137167029	Infamous  Gaming	Thunder  Predator	40	26	True	[56,  86,  66,  19,  77]	[107,  63,  64,  59,  34]
4171862198	Elements  Pro  Gaming	Team.  Spirit	11	24	False	[84,  93,  17,  19,  119]	[3,  6,  9,  88,  59]
4136403129	Admiral  Dota	BOOM  ID	15	29	False	[109,  25,  61,  112,  7]	[110,  98,  45,  73,  88]
4170053817	Clutch  Gamers	Admiral  Dota	59	17	True	[50,  63,  82,  110,  84]	[9,  85,  78,  23,  90]
4268718268	NoPangolier	Team.  Spirit	15	31	False	[18,  20,  92,  91,  72]	[85,  1,  38,  107,  25]
4142708926	Team  EVOS	Lotac	35	32	True	[36,  64,  88,  95,  17]	[83,  78,  86,  113,  19]
4146227391	Team  Aster	Newbee.Young	26	17	True	[7,  92,  3,  110,  109]	[83,  19,  26,  74,  95]
4183451840	Virtus.pro	Team  Aster	21	44	False	[53,  61,  10,  55,  2]	[36,  74,  3,  107,  114]
4151011521	BOOM  ID	KSY	41	32	True	[5,  74,  45,  12,  7]	[9,  17,  75,  112,  109]
4182687939	Vici  Gaming	paiN  Gaming	39	26	True	[12,  4,  36,  3,  63]	[49,  112,  120,  92,  26]
4243089603	test123	paiN  Gaming	33	9	True	[49,  93,  121,  103,  96]	[69,  110,  44,  98,  86]
4160032963	KG.Luminous	Newbee.mgb	29	5	True	[33,  9,  86,  88,  49]	[7,  109,  106,  63,  85]
4142145732	The  Final  Tribe	Espada	17	34	False	[23,  106,  53,  66,  86]	[5,  63,  6,  36,  7]
4161497288	iG.Vitality	Newbee.Young	36	31	False	[110,  21,  97,  64,  8]	[91,  3,  2,  72,  17]
4196593865	The  Final  Tribe	Royal  Never  Give  Up	19	37	False	[113,  96,  25,  2,  79]	[110,  36,  20,  49,  67]
4216887498	Kaipi	IG.X	35	28	True	[50,  7,  109,  49,  65]	[22,  85,  9,  6,  112]
4243499211	KEEN  GAMING	PSG.LGD	26	10	True	[86,  31,  46,  44,  96]	[41,  94,  30,  18,  50]
4268830924	Team.  Spirit	Alliance	26	42	False	[31,  1,  28,  121,  86]	[87,  76,  48,  96,  91]
4254058701	EHOME	KEEN  GAMING	21	35	False	[12,  85,  97,  26,  106]	[96,  41,  30,  52,  79]
4136485069	Newbee	Royal  Never  Give  Up	11	29	False	[63,  11,  75,  51,  29]	[112,  3,  96,  59,  109]
4168087759	EHOME	DeathBringer  Gaming	33	14	True	[67,  85,  96,  79,  23]	[63,  45,  2,  6,  94]
4137068752	MangoBay	Team  Liquid	37	13	True	[12,  50,  19,  65,  7]	[93,  58,  9,  16,  83]
4253690065	WarriorsGaming.Unity	Clutch  Gamers	33	33	True	[100,  16,  76,  109,  31]	[3,  45,  1,  121,  38]
4145078480	Gambit  Esports	The  Final  Tribe	28	30	False	[81,  110,  17,  83,  6]	[113,  9,  92,  64,  84]
4218945748	Fnatic	Evil  Geniuses	16	34	False	[3,  10,  110,  19,  108]	[9,  109,  50,  96,  26]
